3,6;3,28;3,164;3,164;3,13784;3,140132
2,8;3,08;3,148;3,1508;3,14664;3,14118
2,8;3,2;3,08;3,142;3,13868;3,141952
3,6;2,92;3,064;3,142;3,1466;3,139032
2,8;3,04;3,156;3,1288;3,142;3,142456
2,4;3,04;3,132;3,1756;3,1486;3,142464
3,2;3,24;3,108;3,1112;3,14416;3,13894
3,6;3,12;3,14;3,1388;3,141;3,142132
4;3,24;3,172;3,136;3,1464;3,142252
2,4;2,96;3,172;3,1576;3,14208;3,140632
2,8;3,2;3,168;3,1576;3,141;3,14154
3,2;3,24;3,18;3,134;3,14664;3,14344
3,2;3,36;3,22;3,1416;3,13956;3,142728
2,4;2,88;3,06;3,122;3,14068;3,142308
3,2;3,28;3,18;3,0976;3,14288;3,140452
3,6;3,4;3,156;3,162;3,1454;3,144596
3,6;3,2;3,152;3,1576;3,14792;3,144708
3,2;3,32;3,172;3,1112;3,1472;3,139408
3,2;2,84;3,18;3,1212;3,14264;3,136948
3,6;3,12;3,068;3,1196;3,1434;3,14182
2,4;3,36;3,088;3,1348;3,13484;3,140908
3,6;3,24;3,08;3,1472;3,14308;3,140584
2,8;3,2;3,148;3,1428;3,14108;3,142416
2,4;3,16;3,116;3,1628;3,1376;3,142604
3,2;3,4;3,136;3,164;3,13484;3,139932
2,8;3,24;3,18;3,1356;3,14836;3,140328
2,4;3;3,064;3,1344;3,13652;3,142572
2,8;3,12;3,156;3,1344;3,14144;3,141168
2,8;3;3,208;3,14;3,14596;3,140916
3,6;3,24;3,156;3,142;3,14316;3,142736
4;3,08;3,084;3,1356;3,13544;3,142876
3,6;3,12;3,116;3,15;3,14156;3,140396
3,2;2,84;3,1;3,1344;3,14052;3,142048
2,8;3,12;3,2;3,126;3,14216;3,141616
3,6;3,04;3,096;3,1148;3,14412;3,141648
3,2;3,16;3,224;3,1304;3,13612;3,141652
3,2;3;3,056;3,148;3,14448;3,142164
3,6;3,2;3,08;3,1696;3,14564;3,138596
3,6;2,88;3,224;3,1196;3,13848;3,14174
3,6;3,24;3,212;3,146;3,1488;3,14178
3,6;3,32;3,12;3,1568;3,14028;3,141316
2,4;2,92;3,092;3,1272;3,15108;3,140292
3,6;3,04;3,112;3,1368;3,14512;3,141972
3,2;3,12;3,12;3,1504;3,14756;3,142892
2,8;3,04;3,148;3,1296;3,14132;3,145984
4;3,08;3,172;3,1344;3,14224;3,140412
3,6;3,4;3,116;3,1508;3,14192;3,142196
3,6;3,28;3,08;3,1384;3,14064;3,14096
2,4;2,88;3,204;3,1548;3,13808;3,139644
3,6;3,2;3,104;3,1464;3,14188;3,142876
3,2;3,12;3,076;3,1568;3,13984;3,141624
3,6;3;3,228;3,1436;3,1408;3,140552
2,8;2,52;3,164;3,1272;3,13796;3,14502
2,8;3,36;3,216;3,1808;3,14912;3,142172
3,2;3,24;3,192;3,1344;3,142;3,14304
3,2;3,4;3,064;3,132;3,14064;3,141464
3,2;3,24;3,092;3,0852;3,14972;3,139264
3,6;2,84;3,108;3,1264;3,13756;3,143416
2,8;3,2;3,204;3,1096;3,13868;3,139224
3,2;3,12;3,164;3,136;3,14236;3,137192
3,6;3,04;3,1;3,1216;3,14852;3,142392
3,6;3,04;3,048;3,1328;3,14908;3,141636
2,4;3,08;3,144;3,154;3,1412;3,142236
3,2;3,16;3,132;3,1256;3,1422;3,141352
2,8;2,88;3,104;3,1364;3,14504;3,139612
2,8;3,2;3,088;3,1368;3,14872;3,140972
2,8;3,24;3,272;3,1344;3,14428;3,143136
2,8;2,88;3,152;3,1464;3,14668;3,137512
2,8;3,08;3,092;3,1364;3,14312;3,14172
4;2,92;3,2;3,1708;3,14548;3,139748
3,6;3,28;3,208;3,1204;3,14708;3,145608
2;3,36;3,244;3,1216;3,14172;3,145012
1,6;3,12;3,232;3,1524;3,14;3,143808
2,8;2,96;3,056;3,134;3,14736;3,139596
3,6;3,12;3,16;3,1184;3,13108;3,139376
3,2;3,04;3,212;3,138;3,13504;3,14132
